tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,SeniorCitizen,Partner,Dependents,PaperlessBilling,Churn
58,70.98,3945.21,One year,No,No,No,Credit card,0,No,No,Yes,No
69,73.6,4687.43,Two year,No,Yes,No,Bank transfer,0,No,Yes,No,No
32,50.33,1507.78,Month-to-month,No,No,Yes,Mailed check,0,Yes,No,No,No
52,56.65,2919.38,Month-to-month,No,No,No,Bank transfer,0,No,No,No,Yes
21,81.0,1610.12,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,Yes
20,90.49,1736.39,One year,DSL,No,Yes,Bank transfer,0,No,Yes,Yes,No
69,32.92,2256.91,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,No,Yes,Yes
69,75.93,4959.65,Month-to-month,Fiber optic,No,No,Electronic check,0,No,Yes,Yes,Yes
3,110.36,310.83,Two year,Fiber optic,Yes,No,Bank transfer,0,No,No,No,No
61,61.52,3712.64,One year,Fiber optic,Yes,Yes,Bank transfer,0,Yes,No,Yes,No
61,32.6,1970.88,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,No,No
23,31.22,671.72,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,Yes,Yes
54,60.18,3117.13,One year,Fiber optic,Yes,No,Mailed check,0,Yes,No,Yes,No
8,96.08,765.85,Month-to-month,DSL,No,No,Credit card,0,No,No,Yes,Yes
2,63.78,115.51,One year,Fiber optic,No,No,Bank transfer,1,Yes,No,No,Yes
30,70.68,1916.8,Month-to-month,No,Yes,No,Credit card,0,No,No,Yes,No
39,35.11,1303.1,Two year,No,No,Yes,Credit card,0,Yes,No,Yes,No
35,94.49,3072.75,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,No,No,Yes
23,30.63,675.03,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,No,Yes
5,49.87,242.48,One year,DSL,No,No,Bank transfer,0,Yes,No,Yes,No
65,83.9,4945.82,One year,Fiber optic,No,No,Mailed check,1,No,No,Yes,No
3,18.0,53.36,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,Yes,Yes
5,70.22,325.71,One year,Fiber optic,Yes,No,Credit card,0,No,Yes,No,Yes
50,33.83,1586.85,Month-to-month,No,No,No,Mailed check,0,Yes,No,No,No
61,65.5,3730.61,Two year,Fiber optic,No,No,Credit card,0,No,No,No,No
56,54.44,2999.81,Two year,DSL,No,Yes,Bank transfer,0,Yes,No,Yes,No
65,120.0,7153.11,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,Yes,No
7,53.21,336.29,Two year,Fiber optic,No,Yes,Electronic check,0,No,Yes,Yes,No
25,120.0,2991.54,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,Yes,No,Yes
50,82.61,4122.5,Month-to-month,No,Yes,No,Electronic check,0,No,Yes,Yes,Yes
44,40.96,1668.46,Two year,Fiber optic,No,No,Mailed check,0,No,No,No,No
43,74.92,2902.42,One year,Fiber optic,No,No,Mailed check,0,No,Yes,Yes,No
4,55.87,215.57,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,Yes,No
69,72.26,4810.67,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,Yes,No
25,43.58,1083.0,Month-to-month,Fiber optic,Yes,Yes,Mailed check,0,No,No,Yes,Yes
67,115.71,7208.7,Two year,Fiber optic,No,No,Electronic check,0,No,Yes,No,No
18,92.76,1534.35,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,Yes,No
19,65.95,1204.98,Month-to-month,DSL,No,No,Mailed check,0,Yes,No,Yes,No
11,116.87,1229.48,Month-to-month,No,No,No,Electronic check,1,No,No,Yes,Yes
46,67.23,3005.29,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,No,Yes
0,97.93,0.0,Month-to-month,DSL,Yes,Yes,Credit card,0,No,No,No,Yes
13,66.15,822.09,Month-to-month,DSL,No,Yes,Credit card,1,No,No,Yes,No
63,76.82,4428.33,Month-to-month,DSL,No,No,Mailed check,0,Yes,Yes,No,No
37,62.56,2221.7,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,Yes,No
36,67.86,2290.06,Two year,DSL,No,Yes,Bank transfer,0,No,No,No,No
10,70.12,662.83,Month-to-month,DSL,Yes,Yes,Mailed check,0,Yes,No,No,Yes
2,44.91,89.46,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,Yes,No
32,52.97,1619.6,One year,Fiber optic,No,No,Mailed check,1,No,No,No,No
5,58.5,267.63,Two year,DSL,No,No,Mailed check,0,No,Yes,Yes,No
49,71.89,3326.46,Two year,Fiber optic,Yes,No,Bank transfer,1,Yes,No,Yes,No
9,64.08,532.22,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,Yes,Yes,Yes
4,100.19,366.11,Month-to-month,No,No,No,Credit card,0,Yes,No,Yes,Yes
22,90.41,1931.78,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,1,No,No,No,Yes
9,59.11,512.23,Month-to-month,DSL,No,Yes,Mailed check,0,No,No,Yes,No
43,106.45,4347.47,One year,Fiber optic,No,No,Credit card,0,Yes,No,No,No
1,120.0,113.08,One year,Fiber optic,No,No,Bank transfer,0,No,Yes,Yes,No
12,18.0,201.36,Two year,DSL,Yes,Yes,Bank transfer,0,Yes,Yes,Yes,No
39,92.97,3295.16,Month-to-month,No,Yes,Yes,Credit card,0,Yes,No,Yes,No
1,44.21,41.11,Two year,Fiber optic,No,No,Mailed check,0,No,No,Yes,Yes
64,89.02,5605.21,Month-to-month,No,Yes,Yes,Mailed check,0,No,No,No,No
62,102.15,6196.3,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,Yes,No
16,38.69,617.33,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,Yes,No,Yes,Yes
8,18.0,139.05,One year,Fiber optic,No,Yes,Mailed check,0,Yes,No,No,No
14,90.06,1204.56,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,Yes
23,69.06,1476.57,Two year,Fiber optic,Yes,No,Credit card,0,No,No,Yes,No
37,18.0,604.52,Two year,No,Yes,No,Electronic check,0,No,No,Yes,No
34,120.0,3924.15,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,No,No
48,83.73,3813.33,Month-to-month,No,No,No,Bank transfer,0,No,No,No,No
68,85.1,5647.38,Two year,No,Yes,Yes,Credit card,1,No,No,No,No
61,105.97,6083.98,One year,No,No,Yes,Credit card,0,No,No,No,No
59,47.58,2803.16,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,No,No,Yes
49,68.91,3173.19,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,Yes,No,No,No
8,25.42,189.8,Month-to-month,DSL,No,No,Mailed check,0,Yes,No,Yes,No
33,46.76,1523.17,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,Yes,Yes,Yes
34,76.57,2446.01,Month-to-month,DSL,No,No,Credit card,0,No,Yes,Yes,Yes
0,18.0,0.0,Two year,DSL,Yes,No,Bank transfer,1,Yes,No,No,No
39,45.91,1616.34,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,No,No
63,37.16,2269.11,Month-to-month,No,No,Yes,Mailed check,0,Yes,No,Yes,No
21,69.26,1319.46,Two year,No,Yes,No,Electronic check,0,Yes,Yes,Yes,No
59,82.24,4438.87,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,Yes,Yes
63,87.26,5332.5,Two year,Fiber optic,Yes,No,Electronic check,0,Yes,Yes,No,No
71,94.96,6263.28,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,No,Yes,No
10,106.16,977.78,One year,Fiber optic,Yes,No,Credit card,0,Yes,No,No,No
13,83.22,1060.39,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,No,Yes,No
59,120.0,7041.94,One year,Fiber optic,No,No,Electronic check,0,Yes,No,No,No
29,68.59,1836.42,Month-to-month,Fiber optic,No,No,Credit card,0,No,Yes,No,Yes
34,59.8,1894.37,One year,Fiber optic,Yes,No,Electronic check,0,No,Yes,No,No
36,83.22,2910.26,Month-to-month,Fiber optic,No,Yes,Credit card,1,Yes,Yes,Yes,No
4,58.51,229.72,Two year,Fiber optic,Yes,No,Credit card,0,No,Yes,No,No
25,120.0,2999.75,Month-to-month,No,No,Yes,Bank transfer,0,Yes,Yes,Yes,Yes
61,98.93,5596.23,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,No,Yes
3,87.51,250.89,One year,DSL,Yes,No,Mailed check,0,No,No,Yes,No
41,68.94,2581.77,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,Yes,Yes
17,52.78,837.22,One year,DSL,No,No,Electronic check,0,No,Yes,No,Yes
39,86.04,3035.09,Two year,Fiber optic,No,No,Mailed check,0,No,No,Yes,No
71,31.19,2039.73,One year,DSL,No,No,Electronic check,0,Yes,No,No,No
38,111.03,4010.94,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,Yes,Yes,No
13,59.67,710.84,One year,DSL,Yes,No,Mailed check,0,No,No,Yes,No
31,74.15,2273.22,One year,Fiber optic,No,No,Electronic check,1,No,No,No,Yes
50,37.71,1830.88,Two year,Fiber optic,Yes,No,Bank transfer,1,Yes,No,No,No
37,86.69,2895.67,Month-to-month,DSL,No,No,Mailed check,0,No,No,Yes,No
22,51.39,1116.64,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,Yes,Yes
62,84.48,5225.88,Month-to-month,DSL,Yes,No,Electronic check,0,No,No,Yes,Yes
14,87.72,1166.9,Month-to-month,No,Yes,Yes,Credit card,1,No,No,Yes,No
24,45.57,1018.72,Month-to-month,No,No,No,Credit card,0,No,Yes,Yes,No
16,31.29,463.77,Month-to-month,DSL,Yes,No,Electronic check,0,No,No,Yes,No
65,110.96,6554.21,Two year,No,No,No,Mailed check,0,Yes,No,No,No
52,59.23,2923.38,Two year,Fiber optic,No,No,Bank transfer,1,Yes,No,Yes,No
50,71.75,3246.74,One year,No,No,No,Electronic check,0,Yes,No,No,No
38,79.56,2873.28,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,No,Yes
50,27.39,1267.14,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,No,No
69,78.88,5157.76,Two year,No,Yes,Yes,Credit card,0,No,No,Yes,No
5,67.97,320.08,Two year,DSL,No,Yes,Mailed check,0,Yes,No,No,No
66,45.69,2805.99,Two year,DSL,Yes,No,Electronic check,0,Yes,No,No,No
6,30.3,171.78,One year,DSL,Yes,Yes,Credit card,0,No,No,No,Yes
50,83.18,3940.25,Month-to-month,DSL,No,No,Electronic check,1,No,Yes,Yes,Yes
71,98.83,6900.23,Two year,Fiber optic,Yes,No,Electronic check,0,Yes,Yes,Yes,No
41,70.36,2788.35,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,No,Yes
63,21.97,1305.65,Month-to-month,No,Yes,No,Credit card,0,Yes,No,Yes,No
14,33.28,461.51,One year,DSL,Yes,No,Bank transfer,0,No,Yes,No,No
28,52.04,1421.53,Month-to-month,No,No,No,Mailed check,1,No,No,Yes,No
32,111.94,3250.99,Month-to-month,No,Yes,No,Bank transfer,0,Yes,Yes,Yes,No
26,57.6,1370.86,Month-to-month,DSL,No,Yes,Credit card,0,Yes,Yes,Yes,No
35,50.94,1619.17,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,Yes,No
28,18.0,469.67,Two year,No,No,No,Bank transfer,0,Yes,No,Yes,No
37,45.3,1581.51,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,No,No
56,28.01,1490.8,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,Yes,No,No
26,34.9,893.92,Month-to-month,Fiber optic,Yes,No,Electronic check,0,Yes,Yes,Yes,No
54,68.6,3340.61,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,No,No,No,Yes
32,52.97,1598.13,Month-to-month,DSL,No,No,Electronic check,0,No,No,Yes,Yes
67,115.98,7312.97,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,No,Yes,No
65,97.34,6293.87,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,No,Yes
9,46.73,388.65,One year,Fiber optic,Yes,No,Electronic check,0,No,No,Yes,No
4,37.5,136.84,Two year,No,No,No,Mailed check,0,Yes,Yes,Yes,No
37,106.48,3601.83,One year,Fiber optic,Yes,No,Electronic check,0,No,No,No,No
12,114.8,1311.49,Month-to-month,No,No,No,Bank transfer,1,No,Yes,No,Yes
30,18.0,507.11,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,Yes
46,67.79,3041.67,Two year,Fiber optic,No,No,Credit card,0,No,No,Yes,No
51,57.44,2731.17,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,Yes,No
55,84.47,4240.71,Two year,No,No,No,Electronic check,0,No,No,Yes,Yes
14,120.0,1577.0,Two year,Fiber optic,No,No,Credit card,0,No,Yes,No,Yes
28,50.48,1396.91,Two year,DSL,Yes,No,Credit card,0,No,No,Yes,No
7,18.0,118.51,Two year,No,No,No,Bank transfer,0,No,Yes,Yes,No
4,82.37,324.0,One year,Fiber optic,No,No,Credit card,0,No,No,Yes,Yes
28,106.7,2799.84,Month-to-month,DSL,No,Yes,Credit card,1,Yes,No,Yes,No
46,55.89,2386.19,Two year,Fiber optic,No,No,Bank transfer,0,Yes,No,No,No
67,43.85,2871.81,Month-to-month,No,No,No,Bank transfer,0,Yes,Yes,Yes,No
44,51.88,2102.21,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,Yes
1,90.51,83.56,One year,Fiber optic,Yes,Yes,Mailed check,0,Yes,No,No,Yes
26,51.37,1208.71,One year,No,No,No,Bank transfer,0,Yes,No,Yes,No
35,74.86,2407.31,Two year,Fiber optic,No,Yes,Credit card,0,No,Yes,Yes,Yes
35,65.83,2160.93,One year,Fiber optic,No,Yes,Electronic check,0,No,No,No,No
25,62.74,1474.32,Month-to-month,DSL,No,No,Credit card,1,No,Yes,Yes,Yes
42,86.04,3404.31,Two year,DSL,Yes,No,Bank transfer,0,No,No,No,No
26,50.64,1248.13,Two year,Fiber optic,No,Yes,Mailed check,0,No,No,No,Yes
68,52.08,3389.83,One year,No,No,No,Electronic check,0,No,No,No,No
19,88.93,1552.71,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,Yes,No
10,35.39,340.24,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,Yes,Yes
37,38.59,1333.1,One year,DSL,Yes,Yes,Credit card,0,No,Yes,No,No
5,27.19,132.33,Month-to-month,Fiber optic,Yes,No,Mailed check,0,Yes,No,No,No
71,90.47,6138.95,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,No,Yes
22,61.84,1299.84,One year,DSL,Yes,Yes,Credit card,0,Yes,No,No,No
46,25.59,1140.12,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,No,No
45,90.61,3805.49,Month-to-month,Fiber optic,Yes,No,Credit card,0,Yes,No,Yes,Yes
11,48.33,501.29,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,No,Yes,Yes
12,38.85,446.75,Month-to-month,DSL,No,No,Credit card,0,No,No,Yes,No
61,59.13,3398.29,One year,No,No,No,Mailed check,0,No,Yes,Yes,No
59,109.36,6093.66,Month-to-month,DSL,Yes,Yes,Credit card,0,Yes,No,Yes,Yes
42,53.15,2069.9,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,Yes,Yes,No
67,82.26,5118.67,One year,No,Yes,No,Mailed check,1,No,No,Yes,No
4,86.81,336.79,Two year,Fiber optic,No,Yes,Electronic check,0,No,No,No,Yes
36,78.3,2538.13,One year,Fiber optic,Yes,Yes,Credit card,0,Yes,No,Yes,No
71,103.13,6659.78,Month-to-month,DSL,No,No,Credit card,0,Yes,Yes,Yes,No
30,43.79,1306.98,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,No,Yes
8,33.7,247.68,Two year,Fiber optic,No,No,Mailed check,0,No,No,No,No
50,33.11,1559.17,Month-to-month,No,Yes,No,Bank transfer,0,Yes,Yes,Yes,No
28,60.67,1673.23,One year,DSL,No,Yes,Credit card,0,Yes,No,Yes,No
39,36.59,1284.32,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,Yes,Yes,No
40,69.43,2756.42,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,No,Yes,Yes,Yes
10,67.31,609.39,Two year,No,Yes,No,Electronic check,0,No,Yes,Yes,No
22,95.56,1928.01,One year,DSL,No,No,Credit card,1,No,No,No,No
0,73.73,0.0,One year,No,Yes,No,Bank transfer,0,No,No,No,Yes
45,52.52,2249.84,Month-to-month,DSL,No,No,Credit card,0,Yes,Yes,No,No
20,77.33,1537.8,Month-to-month,Fiber optic,No,No,Mailed check,1,Yes,No,Yes,Yes
35,34.09,1173.94,One year,DSL,No,Yes,Bank transfer,0,Yes,No,Yes,No
53,63.86,3262.65,One year,Fiber optic,No,Yes,Mailed check,0,Yes,No,Yes,No
56,74.58,3836.3,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,Yes,Yes
0,68.88,0.0,Month-to-month,DSL,Yes,No,Electronic check,0,No,No,No,No
62,77.45,4684.15,Month-to-month,DSL,Yes,Yes,Mailed check,0,No,No,No,No
53,45.68,2243.54,Two year,DSL,No,No,Credit card,0,Yes,No,Yes,No
54,99.56,5271.45,One year,No,No,Yes,Bank transfer,1,Yes,No,No,No
39,119.67,4609.79,Two year,No,No,No,Credit card,0,Yes,Yes,No,No
14,18.0,244.4,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,Yes,Yes
20,28.53,519.27,Two year,DSL,Yes,No,Bank transfer,0,Yes,No,Yes,No
46,66.29,3044.54,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,Yes,Yes,No
52,57.3,2704.29,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,No,Yes,Yes
8,120.0,926.83,Two year,No,Yes,No,Mailed check,1,No,No,Yes,No
51,71.59,3326.33,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,Yes,Yes
56,106.78,5923.12,Month-to-month,No,No,Yes,Mailed check,0,Yes,No,No,Yes
25,18.0,420.75,Month-to-month,No,No,No,Mailed check,1,Yes,No,Yes,No
40,89.43,3402.45,Month-to-month,No,No,No,Mailed check,1,No,No,Yes,No
34,43.53,1358.48,One year,DSL,Yes,No,Mailed check,0,Yes,Yes,No,No
62,43.05,2548.07,One year,DSL,Yes,Yes,Bank transfer,0,No,Yes,No,No
24,57.55,1372.75,One year,Fiber optic,No,Yes,Credit card,0,No,Yes,Yes,No
37,22.26,815.52,One year,Fiber optic,No,No,Bank transfer,1,Yes,Yes,Yes,Yes
1,78.28,70.95,One year,DSL,No,No,Bank transfer,0,Yes,No,No,No
6,70.72,397.94,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,No,Yes
33,72.99,2232.22,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,No,Yes
16,91.61,1389.74,Two year,Fiber optic,Yes,No,Electronic check,0,Yes,No,Yes,No
42,110.44,4561.36,Month-to-month,DSL,Yes,Yes,Mailed check,1,No,No,No,No
58,54.09,3055.29,One year,Fiber optic,No,No,Bank transfer,0,No,No,Yes,No
50,79.32,3705.82,Month-to-month,Fiber optic,Yes,No,Mailed check,1,Yes,No,No,Yes
53,73.79,3669.44,One year,Fiber optic,No,Yes,Credit card,0,No,Yes,Yes,No
23,76.33,1694.89,One year,DSL,No,Yes,Credit card,1,Yes,Yes,Yes,No
24,76.78,1694.24,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,Yes,Yes
70,112.72,7182.42,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,Yes,No
51,51.21,2413.9,One year,DSL,No,Yes,Electronic check,1,No,No,Yes,Yes
69,19.23,1210.64,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,No
32,44.06,1318.55,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,Yes,No
48,87.72,4184.27,One year,DSL,No,No,Electronic check,0,No,Yes,Yes,Yes
28,65.7,1677.77,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,No,Yes
62,50.97,3102.73,Two year,DSL,No,No,Mailed check,1,No,Yes,Yes,No
21,32.71,654.94,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,No,No
25,71.64,1725.25,Month-to-month,No,No,Yes,Mailed check,0,Yes,No,No,No
27,84.34,2088.19,One year,DSL,No,Yes,Mailed check,0,Yes,Yes,Yes,No
48,74.18,3258.47,Month-to-month,No,No,Yes,Bank transfer,0,No,No,Yes,No
70,57.4,3681.59,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,No,No
48,69.4,3220.29,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,Yes,No
19,69.23,1282.19,Month-to-month,DSL,No,Yes,Mailed check,0,Yes,Yes,Yes,No
62,70.69,4347.83,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,Yes,No,Yes,No
60,29.47,1661.79,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,Yes,No
48,70.92,3221.01,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,Yes,Yes
70,51.78,3432.35,Month-to-month,DSL,No,No,Mailed check,0,Yes,No,No,No
0,96.22,0.0,One year,Fiber optic,No,Yes,Credit card,0,No,Yes,No,Yes
12,68.99,772.27,One year,DSL,Yes,No,Bank transfer,0,Yes,No,No,No
50,90.06,4434.02,Month-to-month,No,No,Yes,Credit card,0,Yes,Yes,Yes,No
55,55.95,2875.3,One year,Fiber optic,No,No,Mailed check,0,Yes,No,No,No
61,57.03,3433.29,Two year,Fiber optic,Yes,Yes,Bank transfer,1,Yes,Yes,No,No
31,109.83,3168.19,One year,DSL,No,No,Credit card,0,Yes,No,No,No
29,78.09,2115.12,One year,DSL,No,No,Bank transfer,0,Yes,Yes,Yes,No
28,43.56,1166.05,Month-to-month,No,No,No,Mailed check,1,No,No,Yes,No
48,91.91,4016.01,Two year,DSL,No,Yes,Bank transfer,0,Yes,No,No,No
44,49.0,2139.2,Month-to-month,DSL,No,No,Mailed check,1,Yes,No,Yes,Yes
29,71.77,2043.95,Month-to-month,Fiber optic,No,No,Credit card,0,No,No,No,Yes
15,120.0,1740.69,One year,DSL,No,No,Bank transfer,0,Yes,No,Yes,No
39,22.06,859.32,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,No,Yes
18,59.73,969.35,Month-to-month,No,No,No,Mailed check,0,No,No,Yes,Yes
17,77.25,1235.91,One year,Fiber optic,No,No,Bank transfer,0,Yes,No,Yes,No
0,87.94,0.0,One year,No,No,Yes,Electronic check,0,No,No,Yes,Yes
46,27.76,1204.56,One year,No,No,Yes,Electronic check,0,No,No,No,No
65,18.93,1108.05,Two year,DSL,No,No,Electronic check,0,Yes,No,No,No
37,97.72,3311.11,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,Yes,Yes
50,43.39,2046.72,Month-to-month,Fiber optic,No,No,Mailed check,0,No,Yes,Yes,Yes
62,42.13,2525.33,One year,Fiber optic,No,No,Bank transfer,1,No,No,Yes,Yes
3,111.51,306.52,Month-to-month,DSL,No,No,Electronic check,0,No,No,Yes,Yes
0,67.09,0.0,One year,No,Yes,No,Bank transfer,1,No,No,No,Yes
7,67.29,424.53,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,Yes,No
28,59.61,1581.87,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,Yes,No
54,28.28,1511.23,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,No,Yes
2,85.27,163.66,One year,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,Yes
31,77.28,2261.68,Month-to-month,No,No,No,Mailed check,1,No,No,No,No
9,70.06,577.72,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,Yes
33,61.51,1867.93,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,Yes,No
54,56.23,2756.01,Month-to-month,DSL,No,No,Mailed check,0,Yes,Yes,No,No
31,92.37,2789.71,Month-to-month,No,No,Yes,Mailed check,0,Yes,Yes,Yes,No
49,60.76,2702.48,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,Yes,Yes
6,63.08,355.16,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,No,No
7,80.9,552.13,Month-to-month,DSL,No,No,Mailed check,0,No,No,No,Yes
64,71.24,4428.43,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,No,No,No
56,114.27,6128.78,One year,DSL,Yes,No,Mailed check,0,Yes,No,No,No
66,18.0,1137.07,Two year,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,No
58,74.0,3901.57,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,No
71,43.83,2855.17,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,No,No
53,36.74,1856.62,Month-to-month,Fiber optic,No,No,Mailed check,1,Yes,No,Yes,Yes
66,51.29,3164.46,One year,Fiber optic,Yes,No,Bank transfer,0,No,No,Yes,Yes
50,66.64,3005.11,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,Yes,Yes,No
7,67.97,466.19,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,No,Yes,Yes
33,19.48,620.59,One year,Fiber optic,Yes,No,Electronic check,0,No,No,Yes,Yes
34,48.77,1546.38,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,Yes,No
31,73.44,2071.33,One year,DSL,No,No,Credit card,0,Yes,Yes,No,No
45,38.69,1669.88,Month-to-month,DSL,No,Yes,Mailed check,0,No,Yes,Yes,Yes
15,31.56,442.56,One year,Fiber optic,Yes,Yes,Bank transfer,0,No,No,No,No
67,18.0,1116.2,Month-to-month,No,Yes,No,Bank transfer,0,No,No,No,No
36,45.1,1578.38,Two year,Fiber optic,No,No,Bank transfer,0,No,No,Yes,No
53,30.51,1508.39,One year,DSL,No,No,Mailed check,1,Yes,No,Yes,No
13,35.48,421.39,Month-to-month,No,Yes,No,Credit card,1,Yes,Yes,Yes,Yes
54,56.85,2910.77,Month-to-month,No,No,No,Bank transfer,0,Yes,No,Yes,Yes
47,47.01,2171.57,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,No,No,No,No
6,30.01,177.35,Two year,No,No,No,Electronic check,0,Yes,No,Yes,No
6,18.0,106.37,Two year,Fiber optic,Yes,No,Mailed check,0,No,No,Yes,No
32,74.07,2232.98,Month-to-month,Fiber optic,No,No,Mailed check,0,No,Yes,Yes,Yes
22,87.58,1886.48,Two year,Fiber optic,No,No,Bank transfer,0,Yes,No,No,No
18,53.1,941.49,Month-to-month,Fiber optic,Yes,No,Electronic check,0,Yes,No,Yes,Yes
18,57.03,971.06,Month-to-month,DSL,No,Yes,Bank transfer,1,Yes,Yes,No,No
35,65.08,2122.62,Two year,No,No,Yes,Bank transfer,1,Yes,No,No,No
28,112.36,3052.32,One year,No,No,Yes,Mailed check,0,Yes,No,Yes,No
59,18.0,1051.85,Month-to-month,Fiber optic,Yes,No,Electronic check,1,Yes,No,Yes,Yes
1,52.57,52.42,One year,DSL,No,No,Bank transfer,0,No,No,Yes,Yes
0,18.0,0.0,Two year,DSL,Yes,Yes,Mailed check,0,No,Yes,Yes,No
46,75.87,3474.72,One year,DSL,No,Yes,Bank transfer,0,No,No,Yes,No
68,60.68,3919.63,Two year,DSL,No,Yes,Bank transfer,0,No,No,Yes,No
19,71.09,1256.98,One year,Fiber optic,No,No,Electronic check,0,Yes,No,Yes,No
10,69.59,695.09,Month-to-month,No,No,Yes,Electronic check,1,Yes,No,No,Yes
